"SYMBOL","ENSEMBL","ENTREZID"
"QDPR","ENSG00000151552","5860"
"SEPHS1","ENSG00000086475","22929"
"NXNL2","ENSG00000130045","158046"
"ATP1A1","ENSG00000163399","476"
"CYP2B6","ENSG00000197408","1555"
"AGMAT","ENSG00000116771","79814"
"SLC16A9","ENSG00000165449","220963"
"ELOVL5","ENSG00000012660","60481"
"CERS2","ENSG00000143418","29956"
"MAN2B1","ENSG00000104774","4125"
"COX4I2","ENSG00000131055","84701"
"ABCG8","ENSG00000143921","64241"
"KCNK15","ENSG00000124249","60598"
"FUCA2","ENSG00000001036","2519"
"SDHB","ENSG00000117118","6390"
"CACNA2D3","ENSG00000157445","55799"
"SLC22A9","ENSG00000149742","114571"
"NT5C1B","ENSG00000185013","93034"
"MSMO1","ENSG00000052802","6307"
"ADCY5","ENSG00000173175","111"
"SLC17A3","ENSG00000124564","10786"
"B3GNT3","ENSG00000179913","10331"
"CD36","ENSG00000135218","948"
"SLC38A4","ENSG00000139209","55089"
"POFUT2","ENSG00000186866","23275"
"CLIC5","ENSG00000112782","53405"
"SLC38A2","ENSG00000134294","54407"
"KCNC3","ENSG00000131398","3748"
"CYB5R4","ENSG00000065615","51167"
"LYZ","ENSG00000090382","4069"
"ACOX1","ENSG00000161533","51"
"NUDT9","ENSG00000170502","53343"
"EHD1","ENSG00000110047","10938"
"TXNRD3","ENSG00000197763","114112"
"SATL1","ENSG00000184788","340562"
"BSND","ENSG00000162399","7809"
"PECR","ENSG00000115425","55825"
"ADK","ENSG00000156110","132"
"PNPLA7","ENSG00000130653","375775"
"COX7A2L","ENSG00000115944","9167"
"EPX","ENSG00000121053","8288"
"PCYOX1L","ENSG00000145882","78991"
"HPRT1","ENSG00000165704","3251"
"SIRT6","ENSG00000077463","51548"
"FDXR","ENSG00000161513","2232"
"CYP26B1","ENSG00000003137","56603"
"CNGA4","ENSG00000132259","1262"
"VKORC1L1","ENSG00000196715","154807"
"CERK","ENSG00000100422","64781"
"AIFM1","ENSG00000156709","9131"
"SLC19A2","ENSG00000117479","10560"
"TAP2","ENSG00000204267","6891"
"TAP2","ENSG00000232326","6891"
"TAP2","ENSG00000225967","6891"
"TAP2","ENSG00000206235","6891"
"TAP2","ENSG00000223481","6891"
"TAP2","ENSG00000228582","6891"
"TAP2","ENSG00000206299","6891"
"TAP2","ENSG00000237599","6891"
"SLC15A3","ENSG00000110446","51296"
"CHKB","ENSG00000100288","1120"
"SLC17A6","ENSG00000091664","57084"
"LPO","ENSG00000167419","4025"
"DPYSL4","ENSG00000151640","10570"
"CTBP1","ENSG00000159692","1487"
"ATP1B1","ENSG00000143153","481"
"HTR3E","ENSG00000186038","285242"
"RNLS","ENSG00000184719","55328"
"SLC44A1","ENSG00000070214","23446"
"PGLS","ENSG00000130313","25796"
"PDE6A","ENSG00000132915","5145"
"STARD5","ENSG00000172345","80765"
"CHST14","ENSG00000169105","113189"
"SLC39A8","ENSG00000138821","64116"
"BLVRA","ENSG00000106605","644"
"SLC22A1","ENSG00000175003","6580"
"L2HGDH","ENSG00000087299","79944"
"GCK","ENSG00000106633","2645"
"SV2A","ENSG00000159164","9900"
"UQCRFS1","ENSG00000169021","7386"
"HK3","ENSG00000160883","3101"
"GLUL","ENSG00000135821","2752"
"ASIC1","ENSG00000110881","41"
"SLC7A13","ENSG00000164893","157724"
"GDPD1","ENSG00000153982","284161"
"BCAT1","ENSG00000060982","586"
"SLC41A3","ENSG00000114544","54946"
"ATP6AP1","ENSG00000071553","537"
"SULT1C2","ENSG00000198203","6819"
"HS3ST1","ENSG00000002587","9957"
"COX18","ENSG00000163626","285521"
"CYP3A5","ENSG00000106258","1577"
"ACVR1C","ENSG00000123612","130399"
"TRPV2","ENSG00000187688","51393"
"PRDX3","ENSG00000165672","10935"
"CLCN5","ENSG00000171365","1184"
"ABCE1","ENSG00000164163","6059"
"NAA40","ENSG00000110583","79829"
"ATP6V0A4","ENSG00000105929","50617"
"SLC22A15","ENSG00000163393","55356"
"SLC30A9","ENSG00000014824","10463"
"SLC39A5","ENSG00000139540","283375"
"CANT1","ENSG00000171302","124583"
"PKLR","ENSG00000143627","5313"
"PKLR","ENSG00000262785","5313"
"NT5DC2","ENSG00000168268","64943"
"ATP6V0A1","ENSG00000033627","535"
"KCNU1","ENSG00000215262","157855"
"SLC9A5","ENSG00000135740","6553"
"GPD2","ENSG00000115159","2820"
"ALDH5A1","ENSG00000112294","7915"
"GABRQ","ENSG00000268089","55879"
"SDR16C5","ENSG00000170786","195814"
"ABHD10","ENSG00000144827","55347"
"IMPDH2","ENSG00000178035","3615"
"VAMP7","ENSG00000124333","6845"
"SLC16A13","ENSG00000174327","201232"
"DGKI","ENSG00000157680","9162"
"TPCN1","ENSG00000186815","53373"
"DGAT1","ENSG00000185000","8694"
"DGAT1","ENSG00000285482","8694"
"KDM4D","ENSG00000186280","55693"
"ALDOA","ENSG00000149925","226"
"PFKFB4","ENSG00000114268","5210"
"FH","ENSG00000091483","2271"
"QPRT","ENSG00000103485","23475"
"ARG2","ENSG00000081181","384"
"ACBD7","ENSG00000176244","414149"
"ACSS1","ENSG00000154930","84532"
"AADACL2","ENSG00000197953","344752"
"AADACL2","ENSG00000261846","344752"
"CLIC4","ENSG00000169504","25932"
"PHGDH","ENSG00000092621","26227"
"SLC37A1","ENSG00000160190","54020"
"PGM2","ENSG00000169299","55276"
"SLC2A2","ENSG00000163581","6514"
"GCDH","ENSG00000105607","2639"
"SLC39A2","ENSG00000165794","29986"
"CHRNA2","ENSG00000120903","1135"
"PRPSAP2","ENSG00000141127","5636"
"CTH","ENSG00000116761","1491"
"EDN1","ENSG00000078401","1906"
"UPRT","ENSG00000094841","139596"
"SLC30A4","ENSG00000104154","7782"
"NAMPT","ENSG00000105835","10135"
"COQ10B","ENSG00000115520","80219"
"ENTPD2","ENSG00000054179","954"
"PON2","ENSG00000105854","5445"
"DDHD1","ENSG00000100523","80821"
"ENPP1","ENSG00000197594","5167"
"SLCO4A1","ENSG00000101187","28231"
"DAGLA","ENSG00000134780","747"
"PIK3CD","ENSG00000171608","5293"
"SCNN1B","ENSG00000168447","6338"
"ADH4","ENSG00000198099","127"
"ACOT1","ENSG00000184227","641371"
"CA11","ENSG00000063180","770"
"ADCY7","ENSG00000121281","113"
"STARD13","ENSG00000133121","90627"
"LIPH","ENSG00000163898","200879"
"PDHA1","ENSG00000131828","5160"
"CES5A","ENSG00000159398","221223"
"CES5A","ENSG00000261972","221223"
"DHRS4L2","ENSG00000187630","317749"
"KDM3A","ENSG00000115548","55818"
"PRG3","ENSG00000156575","10394"
"ABCG2","ENSG00000118777","9429"
"NUDT7","ENSG00000140876","283927"
"GUCY2D","ENSG00000132518","3000"
"SLC35B1","ENSG00000121073","10237"
"PLA2G7","ENSG00000146070","7941"
"UGT3A2","ENSG00000168671","167127"
"GXYLT1","ENSG00000151233","283464"
"CYP8B1","ENSG00000180432","1582"
"POMGNT1","ENSG00000085998","55624"
"PCYT2","ENSG00000185813","5833"
"SAT1","ENSG00000130066","6303"
"SRD5A3","ENSG00000128039","79644"
"NUDT22","ENSG00000149761","84304"
"CYBRD1","ENSG00000071967","79901"
"IDO2","ENSG00000188676","169355"
"STAT5B","ENSG00000173757","6777"
"SLC11A1","ENSG00000018280","6556"
"KCTD13","ENSG00000174943","253980"
"PLCG1","ENSG00000124181","5335"
"SLC22A2","ENSG00000112499","6582"
"SLC5A8","ENSG00000256870","160728"
"SLC5A8","ENSG00000262217","160728"
"MYC","ENSG00000136997","4609"
"SLC28A2","ENSG00000137860","9153"
"CLCNKA","ENSG00000186510","1187"
"TET1","ENSG00000138336","80312"
"PFKL","ENSG00000141959","5211"
"B3GALT2","ENSG00000162630","8707"
"ADI1","ENSG00000182551","55256"
"ADI1","ENSG00000280830","55256"
"PDE4D","ENSG00000113448","5144"
"KCNH5","ENSG00000140015","27133"
"NT5C1A","ENSG00000116981","84618"
"SLC25A45","ENSG00000162241","283130"
"SLC9A4","ENSG00000180251","389015"
"SDHC","ENSG00000143252","6391"
"P4HA1","ENSG00000122884","5033"
"SRD5A1","ENSG00000145545","6715"
"GNPTAB","ENSG00000111670","79158"
"PDE3B","ENSG00000152270","5140"
"LHPP","ENSG00000107902","64077"
"ALDH1L1","ENSG00000144908","10840"
"ITPKB","ENSG00000143772","3707"
"SLC46A2","ENSG00000119457","57864"
"GALNTL5","ENSG00000106648","168391"
"AQP3","ENSG00000165272","360"
"SLC2A14","ENSG00000173262","144195"
"PCBD2","ENSG00000132570","84105"
"SI","ENSG00000090402","6476"
"MCEE","ENSG00000124370","84693"
"INPPL1","ENSG00000165458","3636"
"LIPI","ENSG00000188992","149998"
"PXDNL","ENSG00000147485","137902"
"HSD11B2","ENSG00000176387","3291"
"CHI3L1","ENSG00000133048","1116"
"ATP6V0E1","ENSG00000113732","8992"
"STARD8","ENSG00000130052","9754"
"MAN1A1","ENSG00000111885","4121"
"DHRSX","ENSG00000169084","207063"
"CERS4","ENSG00000090661","79603"
"LDHAL6A","ENSG00000166800","160287"
"MMACHC","ENSG00000132763","25974"
"SLC7A10","ENSG00000130876","56301"
"GFER","ENSG00000127554","2671"
"NFS1","ENSG00000244005","9054"
"KDM6B","ENSG00000132510","23135"
"PTGES3","ENSG00000110958","10728"
"GNE","ENSG00000159921","10020"
"GCNT2","ENSG00000111846","2651"
"GCNT2","ENSG00000285222","2651"
"CUBN","ENSG00000107611","8029"
"DHRS2","ENSG00000100867","10202"
"B3GNT2","ENSG00000170340","10678"
"ADH6","ENSG00000172955","130"
"OLAH","ENSG00000152463","55301"
"PAH","ENSG00000171759","5053"
"HILPDA","ENSG00000135245","29923"
"ABHD3","ENSG00000158201","171586"
"SLC25A24","ENSG00000085491","29957"
"SLC25A24","ENSG00000284468","29957"
"PNP","ENSG00000198805","4860"
"BLVRB","ENSG00000090013","645"
"GRIA4","ENSG00000152578","2893"
"ORAI2","ENSG00000160991","80228"
"MMAA","ENSG00000151611","166785"
"UPP1","ENSG00000183696","7378"
"SLC35F2","ENSG00000110660","54733"
"KDM4E","ENSG00000235268","390245"
"PDHX","ENSG00000110435","8050"
"PRDX2","ENSG00000167815","7001"
"DUS4L","ENSG00000105865","11062"
"DUS4L","ENSG00000284103","11062"
"MAT2A","ENSG00000168906","4144"
"HS6ST2","ENSG00000171004","90161"
"FRRS1","ENSG00000156869","391059"
"MSRB1","ENSG00000198736","51734"
"KCNMB1","ENSG00000145936","3779"
"PLA2G4B","ENSG00000243708","100137049"
"AOC3","ENSG00000131471","8639"
"SLC18A1","ENSG00000036565","6570"
"KCNK10","ENSG00000100433","54207"
"ALG10B","ENSG00000175548","144245"
"INPP5F","ENSG00000198825","22876"
"FN3KRP","ENSG00000141560","79672"
"ALG5","ENSG00000120697","29880"
"CACNA1B","ENSG00000148408","774"
"SLC39A7","ENSG00000112473","7922"
"SLC39A7","ENSG00000229802","7922"
"SLC39A7","ENSG00000206288","7922"
"SLC39A7","ENSG00000227402","7922"
"SLC39A7","ENSG00000226614","7922"
"SLC39A7","ENSG00000224399","7922"
"PLCXD2","ENSG00000240891","257068"
"XYLB","ENSG00000093217","9942"
"PNLIPRP1","ENSG00000187021","5407"
"CA8","ENSG00000178538","767"
"CACNA1S","ENSG00000081248","779"
"TET3","ENSG00000187605","200424"
"CMBL","ENSG00000164237","134147"
"SLC7A14","ENSG00000013293","57709"
"CKM","ENSG00000104879","1158"
"ENO1","ENSG00000074800","2023"
"SLC1A7","ENSG00000162383","6512"
"AKR7A2","ENSG00000053371","8574"
"SMPD3","ENSG00000103056","55512"
"CA2","ENSG00000104267","760"
"VDAC3","ENSG00000078668","7419"
"ALDH9A1","ENSG00000143149","223"
"TRPC5","ENSG00000072315","7224"
"PDE10A","ENSG00000112541","10846"
"ACOT4","ENSG00000177465","122970"
"ATP6AP2","ENSG00000182220","10159"
"NQO1","ENSG00000181019","1728"
"CLCN1","ENSG00000188037","1180"
"SLC35A5","ENSG00000138459","55032"
"IMPA2","ENSG00000141401","3613"
"MPC1","ENSG00000060762","51660"
"RSAD1","ENSG00000136444","55316"
"FTO","ENSG00000140718","79068"
"TPMT","ENSG00000137364","7172"
"CHST15","ENSG00000182022","51363"
"CES1","ENSG00000198848","1066"
"CES1","ENSG00000262243","1066"
"GRXCR1","ENSG00000215203","389207"
"SLC25A42","ENSG00000181035","284439"
"GRIA1","ENSG00000155511","2890"
"UGT2B11","ENSG00000213759","10720"
"ABHD8","ENSG00000127220","79575"
"SLC4A5","ENSG00000188687","57835"
"LOXL4","ENSG00000138131","84171"
"ACSBG1","ENSG00000103740","23205"
"ENPP4","ENSG00000001561","22875"
"FUT4","ENSG00000196371","2526"
"ACADS","ENSG00000122971","35"
"DHFR","ENSG00000228716","1719"
"GALNT12","ENSG00000119514","79695"
"OTC","ENSG00000036473","5009"
"COX16","ENSG00000133983","51241"
"AMPD2","ENSG00000116337","271"
"UCKL1","ENSG00000198276","54963"
"CHRND","ENSG00000135902","1144"
"ABCC10","ENSG00000124574","89845"
"CERS1","ENSG00000223802","10715"
"CA10","ENSG00000154975","56934"
"LDLR","ENSG00000130164","3949"
"GABRG3","ENSG00000182256","2567"
"ALDH1A3","ENSG00000184254","220"
"DERA","ENSG00000023697","51071"
"GABRB3","ENSG00000166206","2562"
"KCNA7","ENSG00000104848","3743"
"SLC16A3","ENSG00000141526","9123"
"MTAP","ENSG00000099810","4507"
"PCCA","ENSG00000175198","5095"
"NAT2","ENSG00000156006","10"
"ME1","ENSG00000065833","4199"
"ADHFE1","ENSG00000147576","137872"
"OXSM","ENSG00000151093","54995"
"CHKA","ENSG00000110721","1119"
"LCLAT1","ENSG00000172954","253558"
"PLCL1","ENSG00000115896","5334"
"SLC7A7","ENSG00000155465","9056"
"PLOD3","ENSG00000106397","8985"
"PTGFRN","ENSG00000134247","5738"
"GNPNAT1","ENSG00000100522","64841"
"NAT9","ENSG00000109065","26151"
"GAL3ST1","ENSG00000128242","9514"
"PGAM5","ENSG00000247077","192111"
"ISYNA1","ENSG00000105655","51477"
"AKR1D1","ENSG00000122787","6718"
"ASIC5","ENSG00000256394","51802"
"ASIC5","ENSG00000262505","51802"
"NDUFS6","ENSG00000145494","4726"
"APOO","ENSG00000184831","79135"
"SLC35E1","ENSG00000127526","79939"
"KCNH4","ENSG00000089558","23415"
"MANEAL","ENSG00000185090","149175"
"SNCA","ENSG00000145335","6622"
"SLC14A2","ENSG00000132874","8170"
"SLC45A3","ENSG00000158715","85414"
"CYP11B2","ENSG00000179142","1585"
"RETSAT","ENSG00000042445","54884"
"TPO","ENSG00000115705","7173"
"TPO","ENSG00000277603","7173"
"GAL3ST2","ENSG00000154252","64090"
"GAL3ST2","ENSG00000276126","64090"
"INSIG1","ENSG00000186480","3638"
"INSIG2","ENSG00000125629","51141"
"MFSD11","ENSG00000092931","79157"
"H6PD","ENSG00000049239","9563"
"SLC5A12","ENSG00000148942","159963"
"SOAT1","ENSG00000057252","6646"
"GSTA2","ENSG00000244067","2939"
"SLC25A3","ENSG00000075415","5250"
"SLC35B4","ENSG00000205060","84912"
"PDE6B","ENSG00000133256","5158"
"ACOT6","ENSG00000205669","641372"
"SLC8B1","ENSG00000089060","80024"
"NAA50","ENSG00000121579","80218"
"HPSE","ENSG00000173083","10855"
"COX7A2","ENSG00000112695","1347"
"SLC22A25","ENSG00000196600","387601"
"GABRA5","ENSG00000186297","2558"
"AOAH","ENSG00000136250","313"
"B3GALT4","ENSG00000235863","8705"
"B3GALT4","ENSG00000235155","8705"
"B3GALT4","ENSG00000206285","8705"
"B3GALT4","ENSG00000236802","8705"
"B3GALT4","ENSG00000226936","8705"
"DDAH2","ENSG00000213722","23564"
"DDAH2","ENSG00000226634","23564"
"DDAH2","ENSG00000225635","23564"
"DDAH2","ENSG00000227317","23564"
"DDAH2","ENSG00000206395","23564"
"DDAH2","ENSG00000228128","23564"
"DDAH2","ENSG00000233076","23564"
"SLC46A1","ENSG00000076351","113235"
"GLT8D2","ENSG00000120820","83468"
"SLC30A5","ENSG00000145740","64924"
"STARD3NL","ENSG00000010270","83930"
"CA13","ENSG00000185015","377677"
"KCTD9","ENSG00000104756","54793"
"TNF","ENSG00000232810","7124"
"TNF","ENSG00000228978","7124"
"TNF","ENSG00000204490","7124"
"TNF","ENSG00000223952","7124"
"TNF","ENSG00000228849","7124"
"TNF","ENSG00000228321","7124"
"TNF","ENSG00000230108","7124"
"TNF","ENSG00000206439","7124"
"ALG9","ENSG00000086848","79796"
"GPX7","ENSG00000116157","2882"
"SLC22A24","ENSG00000197658","283238"
"TET2","ENSG00000168769","54790"
"GFOD2","ENSG00000141098","81577"
"SPTLC1","ENSG00000090054","10558"
"NMNAT1","ENSG00000173614","64802"
"PLA2G15","ENSG00000103066","23659"
"TRPM6","ENSG00000119121","140803"
"GBGT1","ENSG00000148288","26301"
"SUOX","ENSG00000139531","6821"
"SCN5A","ENSG00000183873","6331"
"CYP26C1","ENSG00000187553","340665"
"SULT4A1","ENSG00000130540","25830"
"SLC22A13","ENSG00000172940","9390"
"RDH11","ENSG00000072042","51109"
"CIDEC","ENSG00000187288","63924"
"UAP1L1","ENSG00000197355","91373"
"GRIK4","ENSG00000149403","2900"
"NCEH1","ENSG00000144959","57552"
"MTR","ENSG00000116984","4548"
"APOC3","ENSG00000110245","345"
"SLC7A2","ENSG00000003989","6542"
"PANK4","ENSG00000157881","55229"
"PANK4","ENSG00000273494","55229"
"SLC22A18","ENSG00000110628","5002"
"SLC22A18","ENSG00000276130","5002"
"UGT2A2","ENSG00000271271","574537"
"DIO2","ENSG00000211448","1734"
"SLC9C2","ENSG00000162753","284525"
"NUDT8","ENSG00000167799","254552"
"LOXL3","ENSG00000115318","84695"
"NMNAT3","ENSG00000163864","349565"
"ITGB3","ENSG00000259207","3690"
"SLC35B3","ENSG00000124786","51000"
"PLA2G12A","ENSG00000123739","81579"
"NDUFB1","ENSG00000183648","4707"
"OAS3","ENSG00000111331","4940"
"VKORC1","ENSG00000167397","79001"
"ARSF","ENSG00000062096","416"
"ASPG","ENSG00000166183","374569"
"SLC6A3","ENSG00000142319","6531"
"SLC6A3","ENSG00000276996","6531"
"BCKDHA","ENSG00000248098","593"
"CDO1","ENSG00000129596","1036"
"CLIC2","ENSG00000155962","1193"
"GBE1","ENSG00000114480","2632"
"LGSN","ENSG00000146166","51557"
"SULT1B1","ENSG00000173597","27284"
"HMGCS2","ENSG00000134240","3158"
"B4GALT1","ENSG00000086062","2683"
"MAN2A1","ENSG00000112893","4124"
"B3GALNT1","ENSG00000169255","8706"
"MPC2","ENSG00000143158","25874"
"KDM3B","ENSG00000120733","51780"
"ATP11A","ENSG00000068650","23250"
"CYP3A43","ENSG00000021461","64816"
"ABCB1","ENSG00000085563","5243"
"NEU2","ENSG00000115488","4759"
"PLD5","ENSG00000180287","200150"
"CA1","ENSG00000133742","759"
"SIRT4","ENSG00000089163","23409"
"KCTD20","ENSG00000112078","222658"
"NNMT","ENSG00000166741","4837"
"TRPM7","ENSG00000092439","54822"
"CHST6","ENSG00000183196","4166"
"SORD","ENSG00000140263","6652"
"NAGS","ENSG00000161653","162417"
"ME3","ENSG00000151376","10873"
"KCTD8","ENSG00000183783","386617"
"COQ6","ENSG00000119723","51004"
"TRPM4","ENSG00000130529","54795"
"GLT6D1","ENSG00000204007","360203"
"SLC28A1","ENSG00000156222","9154"
"NDUFS5","ENSG00000168653","4725"
"ST6GAL1","ENSG00000073849","6480"
"SLC16A12","ENSG00000152779","387700"
"GYS2","ENSG00000111713","2998"
"PLA2G4A","ENSG00000116711","5321"
"TRPA1","ENSG00000104321","8989"
"PIGS","ENSG00000087111","94005"
"SLC2A8","ENSG00000136856","29988"
"THNSL1","ENSG00000185875","79896"
"VAT1","ENSG00000108828","10493"
"GALNT5","ENSG00000136542","11227"
"KCTD14","ENSG00000151364","65987"
"FMO3","ENSG00000007933","2328"
"CYP4Z1","ENSG00000186160","199974"
"GPHN","ENSG00000171723","10243"
"OAT","ENSG00000065154","4942"
"AGK","ENSG00000006530","55750"
"AGK","ENSG00000262327","55750"
"TTYH3","ENSG00000136295","80727"
"KCNJ10","ENSG00000177807","3766"
"GPT2","ENSG00000166123","84706"
"DUOX2","ENSG00000140279","50506"
"TECRL","ENSG00000205678","253017"
"ATP10B","ENSG00000118322","23120"
"SLC22A8","ENSG00000149452","9376"
"ARSA","ENSG00000100299","410"
"CNGA2","ENSG00000183862","1260"
"FAH","ENSG00000103876","2184"
"AK4","ENSG00000162433","205"
"AK7","ENSG00000140057","122481"
"HS2ST1","ENSG00000153936","9653"
"SLC25A28","ENSG00000155287","81894"
"CP","ENSG00000047457","1356"
"ALG11","ENSG00000253710","440138"
"HVCN1","ENSG00000122986","84329"
"APOA1","ENSG00000118137","335"
"SLC24A3","ENSG00000185052","57419"
"IVD","ENSG00000128928","3712"
"SC5D","ENSG00000109929","6309"
"CYP2E1","ENSG00000130649","1571"
"CYP27B1","ENSG00000111012","1594"
"INPP4B","ENSG00000109452","8821"
"ALDH4A1","ENSG00000159423","8659"
"ACSL3","ENSG00000123983","2181"
"DPEP2","ENSG00000167261","64174"
"ALG14","ENSG00000172339","199857"
"SLC13A2","ENSG00000007216","9058"
"CYP39A1","ENSG00000146233","51302"
"ARSI","ENSG00000183876","340075"
"KCNA1","ENSG00000111262","3736"
"KCNH8","ENSG00000183960","131096"
"GABRR2","ENSG00000111886","2570"
"SCLY","ENSG00000132330","51540"
"KDM5D","ENSG00000012817","8284"
"ASRGL1","ENSG00000162174","80150"
"SCN2B","ENSG00000149575","6327"
"KCNQ4","ENSG00000117013","9132"
"GLB1L","ENSG00000163521","79411"
"UGDH","ENSG00000109814","7358"
"PTGR1","ENSG00000106853","22949"
"AQP9","ENSG00000103569","366"
"ACSS2","ENSG00000131069","55902"
"DHRS1","ENSG00000157379","115817"
"DHRS1","ENSG00000284868","115817"
"SLC47A1","ENSG00000142494","55244"
"KCTD7","ENSG00000243335","154881"
"PIGF","ENSG00000151665","5281"
"ALDH1B1","ENSG00000137124","219"
"COMT","ENSG00000093010","1312"
"AUH","ENSG00000148090","549"
"CYP2D6","ENSG00000100197","1565"
"CYP2D6","ENSG00000275211","1565"
"CYP2D6","ENSG00000272532","1565"
"CYP2D6","ENSG00000280905","1565"
"CYP2D6","ENSG00000282966","1565"
"CYP2D6","ENSG00000283284","1565"
"KCTD4","ENSG00000180332","386618"
"UQCRH","ENSG00000173660","7388"
"SLC25A10","ENSG00000183048","1468"
"XDH","ENSG00000158125","7498"
"ALOX5","ENSG00000012779","240"
"ALOX5","ENSG00000275565","240"
"WWOX","ENSG00000186153","51741"
"HAGH","ENSG00000063854","3029"
"ALOX12","ENSG00000108839","239"
"SLC5A1","ENSG00000100170","6523"
"ATP4A","ENSG00000105675","495"
"SLC5A5","ENSG00000105641","6528"
"SLC25A18","ENSG00000182902","83733"
"NUDT3","ENSG00000272325","11165"
"EXTL3","ENSG00000012232","2137"
"NUDT5","ENSG00000165609","11164"
"ALG13","ENSG00000101901","79868"
"SLC4A1","ENSG00000004939","6521"
"SLC30A2","ENSG00000158014","7780"
"HDC","ENSG00000140287","3067"
"RDH14","ENSG00000240857","57665"
"SLC4A4","ENSG00000080493","8671"
"AQP4","ENSG00000171885","361"
"SLC1A6","ENSG00000105143","6511"
"THRSP","ENSG00000151365","7069"
"SLC30A10","ENSG00000196660","55532"
"NAA20","ENSG00000173418","51126"
"NEU4","ENSG00000204099","129807"
"NEU4","ENSG00000277926","129807"
"COX5A","ENSG00000178741","9377"
"GABRA4","ENSG00000109158","2557"
"HAS2","ENSG00000170961","3037"
"SFXN2","ENSG00000156398","118980"
"FUT1","ENSG00000174951","2523"
"EPHX4","ENSG00000172031","253152"
"ABHD1","ENSG00000143994","84696"
"SLC43A2","ENSG00000167703","124935"
"SLC43A2","ENSG00000278550","124935"
"CYP21A2","ENSG00000231852","1589"
"CYP21A2","ENSG00000232414","1589"
"CYP21A2","ENSG00000233151","1589"
"CYP21A2","ENSG00000198457","1589"
"CYP21A2","ENSG00000235134","1589"
"CYP21A2","ENSG00000206338","1589"
"PNPLA6","ENSG00000032444","10908"
"ABHD4","ENSG00000100439","63874"
"PLA2G2F","ENSG00000158786","64600"
"CACNA2D2","ENSG00000007402","9254"
"P2RX2","ENSG00000187848","22953"
"GFPT1","ENSG00000198380","2673"
"DGKB","ENSG00000136267","1607"
"ATP6V1F","ENSG00000128524","9296"
"ADIPOQ","ENSG00000181092","9370"
"SLC9C1","ENSG00000172139","285335"
"SLC9C1","ENSG00000285044","285335"
"MIF","ENSG00000240972","4282"
"MIF","ENSG00000276701","4282"
"GALNT18","ENSG00000110328","374378"
"CACNG7","ENSG00000105605","59284"
"HS3ST3A1","ENSG00000153976","9955"
"SLC15A2","ENSG00000163406","6565"
"NME3","ENSG00000103024","4832"
"SLC31A1","ENSG00000136868","1317"
"KCNE1","ENSG00000180509","3753"
"HAGHL","ENSG00000103253","84264"
"PFKFB1","ENSG00000158571","5207"
"SLC36A2","ENSG00000186335","153201"
"FDFT1","ENSG00000079459","2222"
"FDFT1","ENSG00000284967","2222"
"HYAL4","ENSG00000106302","23553"
"ENOX1","ENSG00000120658","55068"
"SLC25A43","ENSG00000077713","203427"
"HS3ST6","ENSG00000162040","64711"
"HS3ST6","ENSG00000276333","64711"
"P4HA3","ENSG00000149380","283208"
"APOC1","ENSG00000130208","341"
"SLC45A4","ENSG00000022567","57210"
"SLC25A27","ENSG00000153291","9481"
"APOM","ENSG00000204444","55937"
"APOM","ENSG00000235754","55937"
"APOM","ENSG00000206409","55937"
"APOM","ENSG00000224290","55937"
"APOM","ENSG00000231974","55937"
"APOM","ENSG00000226215","55937"
"APOM","ENSG00000227567","55937"
"DGKD","ENSG00000077044","8527"
"DGKD","ENSG00000280873","8527"
"ABCF2","ENSG00000033050","10061"
"HSD3B2","ENSG00000203859","3284"
"ST6GAL2","ENSG00000144057","84620"
"KCNS2","ENSG00000156486","3788"
"DDC","ENSG00000132437","1644"
"SULT1A1","ENSG00000196502","6817"
"SULT1A1","ENSG00000289755","6817"
"KCNK2","ENSG00000082482","3776"
"CYP2U1","ENSG00000155016","113612"
"GCNT3","ENSG00000140297","9245"
"NADSYN1","ENSG00000172890","55191"
"ACBD4","ENSG00000181513","79777"
"TECR","ENSG00000099797","9524"
"MFSD8","ENSG00000164073","256471"
"CERKL","ENSG00000188452","375298"
"SIRT1","ENSG00000096717","23411"
"PANK2","ENSG00000125779","80025"
"AASDHPPT","ENSG00000149313","60496"
"NDUFA3","ENSG00000170906","4696"
"NDUFA3","ENSG00000276061","4696"
"NDUFA3","ENSG00000276766","4696"
"NDUFA3","ENSG00000275724","4696"
"NDUFA3","ENSG00000276220","4696"
"NDUFA3","ENSG00000278365","4696"
"NDUFA3","ENSG00000277722","4696"
"NDUFA3","ENSG00000273642","4696"
"NDUFA3","ENSG00000274359","4696"
"NDUFA3","ENSG00000275605","4696"
"A4GNT","ENSG00000118017","51146"
"KCTD12","ENSG00000178695","115207"
"SLC36A4","ENSG00000180773","120103"
"ATP6V1G3","ENSG00000151418","127124"
"ATP6V1G3","ENSG00000263014","127124"
"ASL","ENSG00000126522","435"
"ACSF2","ENSG00000167107","80221"
"PRODH2","ENSG00000250799","58510"
"GANAB","ENSG00000089597","23193"
"ALG6","ENSG00000088035","29929"
"ALDH8A1","ENSG00000118514","64577"
"PON1","ENSG00000005421","5444"
"HAO2","ENSG00000116882","51179"
"ADO","ENSG00000181915","84890"
"CNDP1","ENSG00000150656","84735"
"AQP8","ENSG00000103375","343"
"PRPS1","ENSG00000147224","5631"
"PIGH","ENSG00000100564","5283"
"CH25H","ENSG00000138135","9023"
"SCARB1","ENSG00000073060","949"
