"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrich"
"hsa00590","Arachidonic acid metabolism","9/60","61/8659",2.58768188428602e-10,4.58019693518625e-08,3.48656085461695e-08,"CYP4F2/ALOX12B/PLA2G4F/PLA2G4E/ALOX15/PLA2G4D/PLA2G2F/CYP4F8/CYP4F3",9,21.2926229508197
"hsa04726","Serotonergic synapse","8/60","115/8659",1.09076314084167e-06,9.65325379644879e-05,7.34829905409126e-05,"ALOX12B/PLA2G4F/PLA2G4E/ALOX15/KCNN2/PLA2G4D/CYP2C18/CACNA1C",8,10.0394202898551
"hsa00591","Linoleic acid metabolism","5/60","30/8659",1.68218093008438e-06,9.92486748749784e-05,7.55505821230879e-05,"PLA2G4F/PLA2G4E/ALOX15/PLA2G4D/PLA2G2F",5,24.0527777777778
"hsa00592","alpha-Linolenic acid metabolism","4/60","26/8659",2.77879889992795e-05,0.00122961851321812,0.000936016471554677,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F",4,22.2025641025641
"hsa00330","Arginine and proline metabolism","4/60","50/8659",0.000378135406750876,0.0111549944991508,0.00849146176563371,"ALDH2/NOS3/NOS1/AOC1",4,11.5453333333333
"hsa00565","Ether lipid metabolism","4/60","50/8659",0.000378135406750876,0.0111549944991508,0.00849146176563371,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F",4,11.5453333333333
"hsa04921","Oxytocin signaling pathway","6/60","154/8659",0.000650907488678086,0.0149550508867644,0.0113841600565319,"PIK3CG/PLA2G4F/NOS3/PLA2G4E/PLA2G4D/CACNA1C",6,5.62272727272727
"hsa04370","VEGF signaling pathway","4/60","59/8659",0.000713397567910219,0.0149550508867644,0.0113841600565319,"PLA2G4F/NOS3/PLA2G4E/PLA2G4D",4,9.78418079096045
"hsa04730","Long-term depression","4/60","60/8659",0.000760426316276156,0.0149550508867644,0.0113841600565319,"PLA2G4F/PLA2G4E/PLA2G4D/NOS1",4,9.62111111111111
"hsa04724","Glutamatergic synapse","5/60","115/8659",0.00115575357385978,0.0196102144994135,0.0149277874274453,"PLA2G4F/PLA2G4E/PLA2G4D/GRIN1/CACNA1C",5,6.27463768115942
"hsa00830","Retinol metabolism","4/60","68/8659",0.00121871389544378,0.0196102144994135,0.0149277874274453,"DHRS9/CYP2W1/CYP2C18/RDH12",4,8.48921568627451
"hsa04611","Platelet activation","5/60","124/8659",0.00161695455144627,0.0234631240934077,0.0178607189054783,"PIK3CG/PLA2G4F/NOS3/PLA2G4E/PLA2G4D",5,5.81922043010753
"hsa04020","Calcium signaling pathway","7/60","253/8659",0.00172328030064576,0.0234631240934077,0.0178607189054783,"NOS3/CACNA1H/GRIN1/NOS1/CHRNA7/ATP2B2/CACNA1C",7,3.9929512516469
"hsa04270","Vascular smooth muscle contraction","5/60","134/8659",0.00227467975178256,0.0287584511475367,0.0218916547539976,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F/CACNA1C",5,5.38495024875622
"hsa05033","Nicotine addiction","3/60","40/8659",0.00260452900581627,0.030733442268632,0.0233950675610164,"GABRE/GRIN1/CHRNA7",3,10.82375
"hsa04912","GnRH signaling pathway","4/60","93/8659",0.00384275573194004,0.0425104852845867,0.0323600482689687,"PLA2G4F/PLA2G4E/PLA2G4D/CACNA1C",4,6.20716845878136
"hsa04713","Circadian entrainment","4/60","97/8659",0.00446764223841535,0.0425188458478957,0.0323664125395816,"CACNA1H/GRIN1/NOS1/CACNA1C",4,5.95120274914089
"hsa04750","Inflammatory mediator regulation of TRP channels","4/60","98/8659",0.00463395098627398,0.0425188458478957,0.0323664125395816,"IL1B/PLA2G4F/PLA2G4E/PLA2G4D",4,5.89047619047619
"hsa04217","Necroptosis","5/60","159/8659",0.00474786778416103,0.0425188458478957,0.0323664125395816,"IL1B/PLA2G4F/PLA2G4E/ALOX15/PLA2G4D",5,4.53825995807128
"hsa00564","Glycerophospholipid metabolism","4/60","99/8659",0.00480438936134415,0.0425188458478957,0.0323664125395816,"PLA2G4F/PLA2G4E/PLA2G4D/PLA2G2F",4,5.83097643097643
"hsa04913","Ovarian steroidogenesis","3/60","51/8659",0.00520179321482356,0.0438436856677985,0.0333749138595196,"PLA2G4F/PLA2G4E/PLA2G4D",3,8.48921568627451
"hsa00600","Sphingolipid metabolism","3/60","54/8659",0.0061054637327329,0.0491212309406238,0.0373923137698474,"SGPP2/DEGS2/SMPD3",3,8.01759259259259
