"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrich"
"hsa05150","Staphylococcus aureus infection","24/477","96/8659",2.20487112439056e-10,6.65871079565951e-08,5.57020073530248e-08,"HLA-DRA/KRT10/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/C2/DSG1/HLA-DRB5/C3/C1R/HLA-DQA1/HLA-DMB/KRT13/C1S/HLA-DOA/CFB/KRT23/FCGR3A/KRT27/KRT40/KRT12/KRT9/MASP1",24,4.53825995807128
"hsa04940","Type I diabetes mellitus","12/477","43/8659",2.17797981025602e-06,0.000328874951348659,0.000275113239190234,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-B/HLA-DQA1/HLA-DMB/HLA-DOA/IL12A/PTPRN",12,5.06596460435864
"hsa05330","Allograft rejection","11/477","38/8659",3.91269128587835e-06,0.000393877589445087,0.000329489792495019,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-B/HLA-DQA1/HLA-DMB/HLA-DOA/IL12A",11,5.25482731987201
"hsa04672","Intestinal immune network for IgA production","12/477","49/8659",9.67680737713296e-06,0.000630962123004662,0.000527817739704144,"HLA-DRA/CCL28/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-DQA1/HLA-DMB/PIGR/HLA-DOA/CXCL12",12,4.44564240790656
"hsa05323","Rheumatoid arthritis","17/477","93/8659",1.04463927649779e-05,0.000630962123004662,0.000527817739704144,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/ATP6V1B1/TGFB3/HLA-DQA1/HLA-DMB/CCL5/TNFRSF11A/HLA-DOA/CXCL12/ATP6V0A4/CCL3L1/CCL3L3",17,3.31829760375104
"hsa05416","Viral myocarditis","14/477","67/8659",1.29059129235335e-05,0.000649597617151187,0.000543406859938253,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-B/CXADR/HLA-DQA1/HLA-DMB/SNTB1/HLA-DOA/FYN/MYH7",14,3.79317250226853
"hsa05140","Leishmaniasis","15/477","77/8659",1.56048410285515e-05,0.000673237427231791,0.000563182232609376,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/C3/TGFB3/HLA-DQA1/HLA-DMB/HLA-DOA/FCGR3A/IL12A/PRKCB/NCF1",15,3.53630646083476
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","17/477","100/8659",2.81496719794966e-05,0.000985964706509752,0.000824787485403766,"CCL28/TNFRSF10D/IL20RA/IL18R1/CCL5/CCL22/IL34/XCR1/IL20RB/CXCL12/CCL17/CXCL11/CCR7/CCL4L2/CCL4L1/CCL3L1/CCL3L3",17,3.08601677148847
"hsa05310","Asthma","9/477","31/8659",2.93830541675092e-05,0.000985964706509752,0.000824787485403766,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-DQA1/HLA-DMB/HLA-DOA",9,5.27023737066342
"hsa04060","Cytokine-cytokine receptor interaction","34/477","297/8659",3.65275596413865e-05,0.00110313230116987,0.000922801506729764,"CCL28/IL1RN/CXCL16/TNFRSF10D/CXCL17/TGFB3/IL20RA/INHBB/EDAR/IL18R1/CCL5/NGFR/TNFRSF11A/CCL22/BMP3/IL34/XCR1/CNTFR/IL20RB/CXCL12/GDF7/IL12A/TNFSF15/CCL17/CXCL11/CSF3R/CSF2RB/CCR7/CCL4L2/CCL4L1/IL12RB1/GDF10/CCL3L1/CCL3L3",34,2.07812577204611
"hsa05321","Inflammatory bowel disease","13/477","65/8659",4.29321336959055e-05,0.00117868221601486,0.000986001156652375,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/TGFB3/HLA-DQA1/HLA-DMB/IL18R1/HLA-DOA/IL12A/IL12RB1",13,3.63060796645702
"hsa05332","Graft-versus-host disease","10/477","42/8659",6.9788098291472e-05,0.00175633380700205,0.00146922312192573,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-B/HLA-DQA1/HLA-DMB/HLA-DOA",10,4.32215234102027
"hsa04145","Phagosome","21/477","152/8659",8.38816259847218e-05,0.00194863469595277,0.00163008827824561,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/C3/HLA-B/ATP6V1B1/TUBA1A/C1R/MARCO/CTSS/HLA-DQA1/HLA-DMB/HLA-DOA/ITGB3/ATP6V0A4/FCGR3A/TUBA3C/NCF1",21,2.50798576630255
"hsa04640","Hematopoietic cell lineage","16/477","99/8659",9.0680469949942e-05,0.00195610728034875,0.00163633930736737,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-DQA1/HLA-DMB/HLA-DOA/ITGB3/CD7/CD1D/KIT/CD3D/CD5/CSF3R",16,2.93382461935921
"hsa00340","Histidine metabolism","7/477","22/8659",0.000121739974267748,0.002451031481924,0.00205035746135155,"ALDH3B2/FTCD/AOC1/CNDP1/ALDH2/HAL/MAOB",7,5.77596721936345
"hsa04514","Cell adhesion molecules","21/477","158/8659",0.000147189377608988,0.00277819950236965,0.00232404280435244,"HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DMA/HLA-DRB5/HLA-B/SLITRK6/CLDN3/CADM1/HLA-DQA1/OCLN/HLA-DMB/VSIR/CLDN8/HLA-DOA/CNTNAP1/LRRC4/NTNG1/PECAM1/PTPRD",21,2.41274580049359
"hsa05410","Hypertrophic cardiomyopathy","15/477","97/8659",0.000247630755651482,0.00439908754157339,0.003679961693892,"TGFB3/IGF1/ATP2A3/SNTB1/ITGB3/CACNA1C/TNNT2/CACNA1D/ITGA7/RYR2/CACNG7/TNNC1/ITGA11/MYH7/CACNA2D1",15,2.80717110808533
"hsa05414","Dilated cardiomyopathy","15/477","103/8659",0.000482044449158948,0.00790636709473708,0.00661390067179121,"TGFB3/IGF1/ATP2A3/SNTB1/ITGB3/CACNA1C/TNNT2/CACNA1D/ITGA7/RYR2/CACNG7/TNNC1/ITGA11/MYH7/CACNA2D1",15,2.64364657751725
