"","SYMBOL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","ENSEMBL","ENTREZID"
"1","CLIC3",1613.02469162565,2.54309390104433,0.142333781090675,17.8671140579356,2.12718117336059e-71,5.96966806538981e-68,"up","ENSG00000169583",9022
"2","FMO3",777.798351393651,3.99200287085426,0.253350977439031,15.7568086423307,6.16694765161613e-56,6.92270708632168e-53,"up","ENSG00000007933",2328
"3","ENO2",1435.00222744516,-2.98967108354451,0.189859595286428,-15.7467473742067,7.23058944261862e-56,7.73018874172527e-53,"down","ENSG00000111674",2026
"4","OAS2",1460.40145920432,2.05786775177242,0.130769604673737,15.73659075369,8.48960793675788e-56,8.66364489946142e-53,"up","ENSG00000111335",4939
"5","P4HA1",1130.51033169981,-2.4297633108718,0.167722519450277,-14.486804269549,1.46816220841253e-47,1.09872365803566e-44,"down","ENSG00000122884",5033
"6","LIPH",440.058257972176,2.70944719679356,0.189703371513201,14.2825463521349,2.81138155142575e-46,1.80338077745884e-43,"up","ENSG00000163898",200879
"7","TYMP",1600.72700162726,1.96363489332535,0.13847808803593,14.1801126891343,1.21651053033745e-45,7.38158862610973e-43,"up","ENSG00000025708",1890
"8","OAS1",1810.12104395778,2.12212669583221,0.151030189463689,14.0510099561414,7.59432067538269e-45,4.26250233707542e-42,"up","ENSG00000089127",4938
"9","FMO2",138.950119188668,3.5099978287536,0.25246928308265,13.9026727762543,6.10194769727201e-44,3.26178161312986e-41,"up","ENSG00000094963",2327
"10","FUT2",271.41956068171,2.62946170658938,0.200149096449416,13.1375147489308,2.00711067253443e-39,9.0123283418141e-37,"up","ENSG00000176920",2524
"11","SLCO4A1",284.266542335217,-2.71357007799747,0.209501554682469,-12.9525056847921,2.2740828957654e-38,1.00108696260449e-35,"down","ENSG00000101187",28231
"12","LOXL2",870.182793846381,-2.98257621529351,0.231139852171807,-12.9037731367784,4.28587060985548e-38,1.81551096343142e-35,"down","ENSG00000134013",4017
"13","ST3GAL5",954.524898784055,-1.5591520020252,0.120962886458924,-12.8895072502643,5.15722665711268e-38,2.14416473479327e-35,"down","ENSG00000115525",8869
"14","SLC2A3",2732.28089014989,-2.58720084946114,0.202469401286205,-12.7782313427398,2.169469442609e-37,8.69763543857403e-35,"down","ENSG00000059804",6515
"15","MGST1",955.410126318599,1.75378604812536,0.137608743331933,12.744728319297,3.33550746435581e-37,1.29112893245262e-34,"up","ENSG00000008394",4257
"16","SLC39A2",372.736892602292,3.46465117230682,0.272427608347479,12.7176947788922,4.71567719933744e-37,1.70760756132782e-34,"up","ENSG00000165794",29986
"17","INSIG1",456.553662216232,-2.2923889864339,0.185204551634965,-12.3776060911946,3.45494930422283e-35,1.14069215925157e-32,"down","ENSG00000186480",3638
"18","CA13",107.85495281779,2.80147732030143,0.226786027475856,12.3529538017931,4.69551900295573e-35,1.48477601599097e-32,"up","ENSG00000185015",377677
"19","ST6GALNAC1",307.528588479565,3.02587629755924,0.255313878108784,11.8515934972794,2.11137228394601e-32,5.64314513653236e-30,"up","ENSG00000070526",55808
"20","LOXL1",409.390808405428,2.95990440695376,0.256870474151905,11.5229452381645,1.01095266392302e-30,2.44052669438018e-28,"up","ENSG00000129038",4016
"21","SLC6A8",5047.46972812287,-2.41054650166912,0.211778105457641,-11.3824160267185,5.11623856785468e-30,1.19650700090527e-27,"down","ENSG00000130821",6535
"22","GCNT3",1004.69055950682,3.29273214849048,0.29011895697926,11.3495932247056,7.45085186918468e-30,1.72452654963985e-27,"up","ENSG00000140297",9245
"23","UCP2",778.766217680729,2.81233412640537,0.248887732092972,11.299609276663,1.3180310852113e-29,2.95911158940788e-27,"up","ENSG00000175567",7351
"24","SLC9A2",168.247145774554,2.26437916915452,0.200878872510582,11.2723610046907,1.79685957102348e-29,3.99418754743051e-27,"up","ENSG00000115616",6549
"25","C3",4521.42463302388,2.09467399575832,0.190058749086023,11.0211921620627,3.020321139983e-28,6.05439552801414e-26,"up","ENSG00000125730",718
"26","HK2",6171.25796823016,-1.98137879593768,0.181459399627465,-10.9191301194947,9.33859043427814e-28,1.83912889333314e-25,"down","ENSG00000159399",3099
"27","PDK1",577.336807860903,-1.88108065891735,0.172784536609286,-10.88685767738,1.3315565656246e-27,2.51216608864185e-25,"down","ENSG00000152256",5163
"28","ATP13A4",52.4771711246607,4.33994606661807,0.400418095887766,10.8385362979063,2.26058834155567e-27,4.22937240468885e-25,"up","ENSG00000127249",84239
"29","SLC15A1",92.7293821267913,4.47596502571908,0.413326006431319,10.8291396042674,2.50497943229319e-27,4.64787547391855e-25,"up","ENSG00000088386",6564
"30","ACSL1",592.692593793326,1.62514342841188,0.156454275731555,10.387337903122,2.83145714300781e-25,4.47669326180763e-23,"up","ENSG00000151726",2180
"31","ATP6V1B1",113.124838839921,2.92589760432942,0.281742828277117,10.3849940820909,2.90187317318312e-25,4.55594088189749e-23,"up","ENSG00000116039",525
"32","SGPP2",219.32462479727,2.62361315572035,0.252742831276967,10.3805640795615,3.03973786879919e-25,4.73924686752851e-23,"up","ENSG00000163082",130367
"33","LOXL4",764.097010899532,2.43590932290107,0.235372018958303,10.34918820717,4.22049134418144e-25,6.44586742640935e-23,"up","ENSG00000138131",84171
"34","ALDH3B2",2054.84949474854,1.7348999668288,0.168186916113072,10.3153087465046,6.00878657634391e-25,9.05391056546961e-23,"up","ENSG00000132746",222
"35","MGLL",1781.1160615213,1.29752732179016,0.125975647040666,10.2998266114982,7.05884167600588e-25,1.04952353952323e-22,"none","ENSG00000074416",11343
"36","CYP4B1",168.576987271426,2.89091577216345,0.283194403404774,10.2082376537344,1.82142962137697e-24,2.62134079676502e-22,"up","ENSG00000142973",1580
"37","RDH12",105.77330996931,2.38082480848181,0.235294398785737,10.1184933460733,4.57402191846798e-24,6.26166866411736e-22,"up","ENSG00000139988",145226
"38","PTGS1",3541.80980640556,-1.11481918054191,0.110985499419826,-10.0447282426047,9.6914437806402e-24,1.29513454951877e-21,"none","ENSG00000095303",5742
"39","PLA2G2F",384.160862967593,3.25141137257673,0.328993206925023,9.88291339801956,4.93760888404804e-23,6.37093431354958e-21,"up","ENSG00000158786",64600
"40","EGLN3",4900.91601589051,-1.85991732715573,0.189083836463016,-9.8364691659909,7.84146142554135e-23,9.83512013769993e-21,"down","ENSG00000129521",112399
"41","SLC34A2",317.243976888883,2.38299139188937,0.248758213156976,9.57954859719793,9.74699978421351e-22,1.12798913482153e-19,"up","ENSG00000157765",10568
"42","HILPDA",1182.12042606125,-2.10512674928229,0.220397422444831,-9.55150348824623,1.27827524647535e-21,1.45677957150346e-19,"down","ENSG00000135245",29923
"43","PLCH2",6987.3355818713,-1.47681622832746,0.155845596592407,-9.47614985997885,2.63838628112359e-21,2.94370590400391e-19,"none","ENSG00000149527",9651
"44","PLCH2",6987.3355818713,-1.47681622832746,0.155845596592407,-9.47614985997885,2.63838628112359e-21,2.94370590400391e-19,"none","ENSG00000276429",9651
"45","FADS1",950.756606035985,-1.86058129272192,0.196668524504582,-9.46049347453451,3.06493308019098e-21,3.35662500406671e-19,"down","ENSG00000149485",3992
"46","IDO1",52.9644663630829,5.51376722861387,0.586179686471961,9.40627482640958,5.14032420200026e-21,5.54833743553403e-19,"up","ENSG00000131203",3620
"47","TPI1",24930.8845873437,-0.976246833363045,0.103827199654252,-9.40261161443221,5.32252487908539e-21,5.69028600287363e-19,"none","ENSG00000111669",7167
"48","PGM2L1",330.532383363147,-1.57843062361466,0.167969712139229,-9.39711453637732,5.60798700388017e-21,5.96705764095326e-19,"down","ENSG00000165434",283209
"49","CACNA1G",98.2925553457057,4.03593586368412,0.431006987520536,9.36396852148903,7.6796716786014e-21,8.09466238761878e-19,"up","ENSG00000006283",8913
"50","GABRE",143.493365302524,3.66575985828157,0.391554672668583,9.36206388062776,7.81940922237791e-21,8.20343721736479e-19,"up","ENSG00000102287",2564
"51","PIK3C2B",914.099006659629,1.24844713980964,0.136053988888634,9.17611567295939,4.46922186239996e-20,4.5197522537271e-18,"none","ENSG00000133056",5287
"52","PLA2G4F",136.262619991377,1.73968580401057,0.189722103289186,9.16965273866293,4.74545254301954e-20,4.77758542795209e-18,"up","ENSG00000168907",255189
"53","CYP4F12",61.4650296201219,3.23420894920579,0.353825450410917,9.14069054515362,6.20548013390346e-20,6.13741121084875e-18,"up","ENSG00000186204",66002
"54","SCNN1B",80.7430558284582,3.64398326237036,0.400073908754966,9.1082752027256,8.37020165585876e-20,8.20608722164563e-18,"up","ENSG00000168447",6338
"55","SLC5A3",728.472466121541,-1.51552098286229,0.167267154614798,-9.06048163700998,1.29875797604528e-19,1.23552607288951e-17,"down","ENSG00000198743",6526
"56","ALDH1A3",430.583300610854,1.94744398807557,0.216343040584256,9.00164841363188,2.22353634674497e-19,2.071394793393e-17,"up","ENSG00000184254",220
"57","ALDOC",855.968292265439,-1.77601629452859,0.198662737975355,-8.93985612313927,3.89677386380137e-19,3.55636056976442e-17,"down","ENSG00000109107",230
"58","CYP4X1",173.695515873163,1.91157047128331,0.214462128303368,8.91332416779567,4.95249167797988e-19,4.48340284928735e-17,"up","ENSG00000186377",260293
"59","CLIC5",38.1064995827622,4.40913176229131,0.497013020234584,8.87126007324768,7.23228281675634e-19,6.39259769759829e-17,"up","ENSG00000112782",53405
"60","PLOD3",2904.8958442122,-1.00723026046436,0.114094576045108,-8.82802930146433,1.06536150589336e-18,9.19939660338916e-17,"none","ENSG00000106397",8985
"61","SLC26A6",1031.38654460764,-1.21369493282859,0.137906558683612,-8.80084996981961,1.35783777518735e-18,1.15911847493274e-16,"none","ENSG00000225697",65010
"62","B4GALT5",5177.40583436542,1.8694602213858,0.214294844531906,8.72377599876164,2.6907513186505e-18,2.26254898333417e-16,"up","ENSG00000158470",9334
"63","PFKFB4",904.955790753884,-1.20152573137621,0.137820690916893,-8.71803590145069,2.83069208367709e-18,2.37133835711322e-16,"none","ENSG00000114268",5210
"64","FUT3",603.633680135918,1.8836777119529,0.217911116950415,8.64424788562544,5.41608595052462e-18,4.40567194475465e-16,"up","ENSG00000171124",2525
"65","KCNC3",147.735026474906,1.79099479571716,0.208426112595781,8.59294823192614,8.47657341328783e-18,6.79669820363304e-16,"up","ENSG00000131398",3748
"66","GGT6",356.784538165938,1.84888227739397,0.215746989248111,8.56967823206905,1.0377459109805e-17,8.23266199555589e-16,"up","ENSG00000167741",124975
"67","CA9",1602.01335296374,-4.74593656353929,0.560231401168944,-8.47138620512294,2.42489803512159e-17,1.86443102008612e-15,"down","ENSG00000107159",768
"68","OASL",216.645588429343,1.73319673078974,0.205214701321585,8.44577274253709,3.02040769189842e-17,2.29091800982471e-15,"up","ENSG00000135114",8638
"69","SLC2A1",22185.5389462024,-1.85830664110636,0.220794622442324,-8.41644882719817,3.88068410436839e-17,2.89452620688288e-15,"down","ENSG00000117394",6513
